game,opp,oppscore,shots,league
1,Connecticut Jr Rangers,6,20,b
2,Bridgewater Bandits,3,30,b
3,LI Royals,6,30,a
4,LI Royals,4,11,a
5,Esmark Stars,3,21,x
6,Esmark Stars,1,12,x
7,Phoenix Jr Coyotes,2,17,n
8,LA Jr Kings,5,24,n
9,Nashville Jr Predators,1,13,n
10,Philadelphia Hockey Club,9,39,a
11,Philadelphia Hockey Club,1,11,a
12,Connecticut Elite Hockey Academy,1,13,a
13,New Jersey Colonials,2,19,a
14,Philadelphia Jr Flyers,5,26,a
15,New Jersey Jr Titans,2,14,a
16,New Jersey Jr Titans,4,35,a
17,New Jersey Devils,1,20,a
18,Philadelphia Jr Flyers,2,35,a
19,New Jersey Hitmean,3,10,x
