game,opp,oppscore,shots,league
1,Wilkes-Barre Scranton Jr Knights,5,35,a
2,MassCon United,3,28,x
3,MassCon United,3,6,x
4,Connecticut Jr Rangers,4,20,b
5,New Hampshire Avalanche,2,19,b
6,Minutemen Flames,1,17,b
7,Philadelphia Jr Flyers,5,24,a
8,Philadelphia Hockey Club,4,38,a
9,Palmyra Black Knights,2,10,x
10,New Jersey Avalanche,3,18,a
11,New York Saints,3,19,a
12,Fox Motors,2,21,t
13,Belle Tire,1,21,t
14,Biggby Coffee,3,29,t
15,Philadelphia Little Flyers,5,21,a
16,Colorado Rampage,1,15,t
17,Milwaukee Admirals,6,25,t
18,New Jersey Devils,0,13,a
