game,p1_length,p2_length,p3_length,p4_length
1,15,15,15,0
2,15,15,15,0
3,12,12,15,0
4,12,12,15,0
5,12,12,15,0
6,12,12,15,0
7,15,15,15,0
8,15,15,15,0
9,15,15,15,0
10,15,15,15,0
11,15,15,15,0
12,15,15,15,0
13,15,15,15,0
14,15,15,15,0
15,15,15,15,0
16,15,15,15,0
17,15,15,15,2
18,15,15,15,0
19,15,15,15,0
20,15,15,15,0
21,15,15,15,0
22,15,15,15,3
23,15,15,15,0
24,15,15,15,0
25,15,15,15,0
26,15,15,15,0
27,15,15,15,0
28,15,15,15,0
29,15,15,15,0
30,12,12,14,0
31,12,12,14,0
32,12,12,14,0
33,12,12,14,0
34,12,12,14,0
35,15,15,15,0
36,15,15,15,0
37,15,15,15,0
38,15,15,15,0
39,15,15,15,0
40,15,15,15,0
41,15,15,15,0
42,12,12,15,0
43,12,12,15,0
44,12,12,15,0
45,12,12,15,0
46,15,15,15,0
47,15,15,15,0

